Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Wettercodekategorie
2012-01-01,8,9.825,14,58,6
2012-01-02,7,74.375,12,,
2012-01-03,8,55.375,18,63,7
2012-01-04,4,56.875,19,80,9
2012-01-05,6,05. Mar,23,80,9
2012-01-06,3,2.625,10,,
2012-01-07,7,6.528.571,14,61,7
2012-01-08,7,59.625,10,80,9
2012-01-09,8,May 15,12,61,7
2012-01-10,6,61.125,10,,
2012-01-11,6,78.625,16,51,6
2012-01-12,7,74.375,25,61,7
2012-01-13,2,04. Aug,18,,
2012-01-14,3,28.875,10,,
2012-01-15,1,2.225,6,,
2012-01-16,8,30.625,6,61,7
2012-01-17,6,44.875,10,,
2012-01-18,7,Feb 35,12,51,6
2012-01-19,8,52.625,16,80,9
2012-01-20,6,34.375,12,26,3
2012-01-21,7,35.375,16,68,7
2012-01-22,6,37.875,12,21,3
2012-01-23,5,22.125,4,10,2
2012-01-24,3,17.625,6,,
2012-01-25,3,-0.1875,8,,
2012-01-26,2,0.3625,12,,
2012-01-27,8,-1,10,71,8
2012-01-28,6,-13.875,10,10,2
2012-01-29,7,-31.625,8,71,8
2012-01-30,3,-2.275,12,,
2012-01-31,1,-2.375,18,,
2012-02-01,7,-1.825,16,71,8
2012-02-02,6,-5.85,8,85,9
2012-02-03,4,-5.85,14,3,1
2012-02-04,4,-75.375,10,71,8
2012-02-05,5,-77.125,8,,
2012-02-06,4,-10.25,6,10,2
2012-02-07,6,-3,18,71,8
2012-02-08,6,-27.625,10,,
2012-02-09,6,-16.625,21,3,1
2012-02-10,6,-28.125,8,71,8
2012-02-11,7,-4.575,8,78,8
2012-02-12,8,-12.375,16,72,8
2012-02-13,6,-2.325,8,10,2
2012-02-14,8,01. Mar,10,47,5
2012-02-15,1,48.625,18,,
2012-02-16,7,29.625,10,61,7
2012-02-17,5,55.625,14,,
2012-02-18,8,6.175,14,61,7
2012-02-19,4,04. Feb,18,25,3
2012-02-20,5,41.125,14,,
2012-02-21,8,Apr 95,14,58,6
2012-02-22,7,7.175,18,51,6
2012-02-23,6,84.125,18,,
2012-02-24,7,Aug 35,19,20,3
2012-02-25,6,6.525,19,61,7
2012-02-26,1,4.675,8,,
2012-02-27,8,3.725,12,61,7
2012-02-28,8,7.675,14,51,6
2012-02-29,8,7.775,10,47,5
2012-03-01,6,7.625,12,43,5
2012-03-02,7,59.125,6,28,3
2012-03-03,5,70.375,14,,
2012-03-04,7,4.675,8,,
2012-03-05,7,4.875,10,,
